"Browser Version","Market Share Perc. (Nov 2018 - Jan 2019)"
"Chrome for Android",30.82
"Chrome 70.0",12.89
"Chrome 71.0",12.49
"Safari iPhone",9.98
"UC Browser 12.9",2.67
"Safari iPad",2.52
"IE 11.0",2.29
"Firefox 64.0",1.7
"Firefox 63.0",1.7
"Edge 17",1.68
"Safari 12.0",1.57
"Android 0",1.17
"Samsung Internet 7.4",1.09
"Samsung Internet 8.2",0.98
"Chrome for iPhone",0.76
"Chrome 69.0",0.67
"Chrome 49.0",0.58
"Opera 56.0",0.52
"Chrome 58.0",0.45
"KaiOS 2.5",0.43
"Chrome 63.0",0.42
"Opera 57.0",0.4
"Safari 11.1",0.37
"Chrome 67.0",0.28
"Chrome 68.0",0.28
"Firefox 52.0",0.24
"UC Browser 7.0",0.24
"Chrome iPad",0.24
"Chrome 61.0",0.22
"Chrome 65.0",0.21
"mCent 0.13",0.2
"Samsung Internet 3.5",0.2
"Safari 10.1",0.18
"Firefox 60.0",0.17
"IE 9.0",0.16
"UC Browser 12.8",0.16
"IE 8.0",0.14
"Opera Mini 4.4",0.14
"Opera Mini 37.1",0.14
"Edge 16",0.13
"UC Browser 12.2",0.13
"Chrome 64.0",0.13
"Chrome 66.0",0.13
"Samsung Internet 3.3",0.12
"Chrome 29.0",0.12
"UC Browser 12.5",0.12
"Edge 18",0.12
"Opera Mini 36.2",0.11
"Safari 11.0",0.11
"Chrome 62.0",0.11
"Firefox 62.0",0.11
"Yandex Browser 18.10",0.1
"Opera 37.0",0.1
"UC Browser 11.5",0.1
"KaiOS 2.0",0.1
"Chrome 57.0",0.1
"IEMobile 11.0",0.1
"Samsung Internet 4.0",0.1
"Opera Mini 38.0",0.09
"Samsung Internet 7.2",0.09
"Chrome 56.0",0.09
"Chrome 72.0",0.09
"Opera Mini 37.3",0.09
"Samsung Internet 4.2",0.09
"Yandex Browser 18.11",0.08
"Puffin 7.7",0.08
"Firefox 48.0",0.08
"Firefox 53.0",0.08
"Safari 9.1",0.08
"UC Browser 12.1",0.08
"Edge 15",0.07
"Chrome 55.0",0.07
"Opera Mini 4.5",0.07
"Samsung Internet 2.0",0.07
"IE 10.0",0.07
"Samsung Internet 6.4",0.07
"Firefox 61.0",0.07
"Sogou Explorer 0",0.07
"Opera 38.0",0.07
"QQ Browser 8.9",0.07
"Sony PS4 0",0.06
"Edge 14",0.06
"Firefox 65.0",0.06
"Firefox 56.0",0.06
"Firefox 47.0",0.06
"UC Browser 11.4",0.06
"Opera Mini 7.5",0.06
"Opera Mini 8.0",0.06
"UC Browser 11.0",0.06
"UC Browser 11.3",0.06
"Opera 49.2",0.06
"Opera 37.3",0.06
"Opera 44.6",0.05
"Coc Coc 76.0",0.05
"Chrome 60.0",0.05
"Chrome 48.0",0.05
"Chrome 54.0",0.05
"Samsung Internet 1.1",0.05
"Firefox 57.0",0.05
"UC Browser 10.7",0.05
"Opera Mini 7.6",0.05
"Firefox 59.0",0.04
"Samsung Internet 7.0",0.04
"Opera 37.1",0.04
"Samsung Internet 8.0",0.04
"Chrome 59.0",0.04
"Samsung Internet 2.1",0.04
"UC Browser 10.10",0.04
"Safari 10.0",0.04
"UC Browser 11.1",0.04
"Chrome 43.0",0.04
"Samsung Internet 5.2",0.04
"Chrome 40.0",0.04
"UC Browser 12.0",0.04
"Yandex Browser 18.9",0.04
"Chrome 38.0",0.04
"Firefox 58.0",0.03
"Samsung Internet 6.2",0.03
"Samsung Internet 5.4",0.03
"QQ Browser 10.3",0.03
"Opera 12.1",0.03
"Safari 8.0",0.03
"Opera 48.2",0.03
"Coc Coc 75.4",0.03
"Opera Mini 20.0",0.03
"Opera 36.2",0.03
"Puffin 5.2",0.03
"Chrome 51.0",0.03
"Unknown 0",0.03
"Opera 49.0",0.03
"Opera Mini 32.0",0.03
"UC Browser 10.8",0.03
"Opera 47.3",0.03
"Nokia 0",0.03
"Firefox 45.0",0.03
"Edge 13",0.03
"Safari 5.1",0.03
"Firefox 38.0",0.02
"Safari 9.0",0.02
"Chrome 53.0",0.02
"Opera 36.0",0.02
"Firefox 54.0",0.02
"Mozilla 0",0.02
"BlackBerry 0",0.02
"Opera Mini 37.6",0.02
"Safari iPod Touch",0.02
"Opera Mini 37.5",0.02
"Chrome 34.0",0.02
"Opera Mini 35.3",0.02
"Maxthon 5.2",0.02
"Chrome 22.0",0.02
"QQ Browser 6.2",0.02
"UC Browser 2.0",0.02
"Opera Mini 33.0",0.02
"360 Safe Browser 0",0.02
"Chrome 41.0",0.02
"Chrome 31.0",0.02
"Opera Mini 4.2",0.02
"Chrome 73.0",0.02
"Opera 48.1",0.02
"Firefox 43.0",0.02
"Opera 37.5",0.02
"Opera Mini 35.1",0.02
"Chrome 47.0",0.02
"Opera Mini 7.1",0.02
"UC Browser 10.1",0.02
"Edge 12",0.02
"Chrome 46.0",0.02
"Chrome 52.0",0.02
"UC Browser 11.2",0.02
"Chromium 25.0",0.02
"Firefox 55.0",0.02
"Chrome 50.0",0.02
"UC Browser 10.9",0.02
"QQ Browser 8.1",0.02
"Chrome 35.0",0.02
"QQ Browser 9.0",0.02
"Opera 37.6",0.02
"Opera 43.0",0.02
"Chrome 15.0",0.02
"Opera Mini 15.0",0.02
"Firefox 50.0",0.02
"Opera 12.5",0.02
"Opera Mini 16.0",0.02
"UC Browser 9.8",0.02
"Chrome 33.0",0.02
"Firefox 51.0",0.01
"Chrome 45.0",0.01
"Firefox 49.0",0.01
"Chromium 65.0",0.01
"Opera Mini 28.0",0.01
"UC Browser 9.7",0.01
"Firefox 4.0",0.01
"Firefox 3.6",0.01
"Opera Mini 35.0",0.01
"UC Browser 10.6",0.01
"Chrome 24.0",0.01
"Samsung Internet 1.0",0.01
"Opera Mini 30.0",0.01
"Firefox 35.0",0.01
"Chrome 37.0",0.01
"Chrome 39.0",0.01
"Firefox 44.0",0.01
"Opera Mini 37.0",0.01
"Chrome 30.0",0.01
"Opera Mini 36.1",0.01
"Opera 46.3",0.01
"UC Browser 9.9",0.01
"Chromium 71.0",0.01
"UC Browser 6.2",0.01
"IE 6.0",0.01
"Safari 6.1",0.01
"Chrome 26.0",0.01
"Opera Mini 12.0",0.01
"UC Browser 10.4",0.01
"Chrome 42.0",0.01
"Chromium 70.0",0.01
"Chrome 11.0",0.01
"Other",1.14
